game_id,winner
201409240TEX,home
201407190BOS,home
201407250PHI,home
201405200BOS,away
201404180COL,home
201405250ATL,home
201408190MIA,home
201408250SEA,away
201408190MIL,home
201408190MIN,away
201404210MIL,home
201406300BOS,away
201407100SEA,away
201408080ATL,home
201405170MIN,home
201404100MIN,away
201404220WAS,away
201404010TBA,away
201404260SEA,away
201405110TEX,away
201406240NYN,home
201405012MIN,away
201405230TBA,home
201406160LAN,home
201404260HOU,home
201405300LAN,away
201406110ANA,away
201406130NYN,home
201405150ANA,home
201409210CHN,away
201405290SEA,away
201405300OAK,home
201408130CIN,away
201408080OAK,home
201409060OAK,home
201406150PHI,away
201404090CHN,home
201407180NYA,home
201409120TEX,home
201405170BOS,away
201404220SEA,away
201405110PIT,away
201407280ATL,home
201409060TBA,home
201404220TOR,home
201409170PIT,home
201408130SEA,home
201406010WAS,away
201407010ATL,home
201407100BOS,home
201409240NYA,away
201404020ANA,away
201409080MIL,away
201408290KCA,away
201406250PHI,away
201409180SLN,home
201409190TBA,away
201404070HOU,away
201409120KCA,away
201408010WAS,away
201409040MIL,away
201406260LAN,home
201406210KCA,away
201405250CHA,away
201408290SEA,away
201405030KCA,away
201407310KCA,home
201408270SDN,home
201406260SFN,away
201404210ATL,home
201404220COL,home
201409220MIN,away
201408110MIA,home
201406070PIT,away
201406120SFN,home
201408290CHA,away
201407070MIL,away
201406240TOR,home
201407090BAL,away
201405230SDN,home
201406040COL,home
201406150OAK,away
201408140ATL,away
201406130SLN,home
201405090TBA,away
201407070CLE,away
201404140CIN,away
201406250SEA,away
201409220CLE,away
201405250TOR,home
201405150SFN,home
201406250TBA,home
201408050CHA,away
201405012BAL,home
201405240TOR,home
201404110ATL,home
201405230CIN,home
201405100LAN,home
201409270DET,home
201404050TBA,home
201405070WAS,home
201404090SEA,away
201404060TBA,away
201404130TEX,home
201409100BOS,home
201407240CHN,home
201407130TEX,home
201407060SDN,away
201406120CHA,away
201409261WAS,home
201407080COL,home
201407190NYA,home
201404300CIN,away
201405200SDN,away
201409220NYA,home
201409210SDN,home
201408200NYA,away
201406040HOU,away
201406090ARI,away
201405310SLN,home
201409240CHN,home
201408240ARI,away
201409020KCA,home
201406160DET,home
201408230CHN,home
201404200WAS,home
201406250ARI,away
201405020CHN,home
201408280CIN,home
201408270CIN,home
201408172COL,away
201409130BAL,away
201404100ATL,away
201405030ANA,home
201405140SEA,away
201409130PIT,away
201409040MIN,away
201409030SLN,home
201406270SEA,home
201409280DET,home
201408240CHN,home
201406290SDN,home
201406220MIN,home
201404290CIN,home
201405280KCA,away
201409070CLE,home
201409030CHN,home
201409210NYA,home
201408030ARI,home
201406040LAN,away
201409130TEX,home
201408070OAK,home
201407060PIT,home
201406100COL,away
201409030TBA,away
201408232MIN,away
201408250SDN,away
